UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
117645,28,35,37,3,17,42,1,36,,27,33,36,3,18,43,1,35,,30,37,39,3,17,41,1,38,,10,15,18,2,18,62,2,16,,11,18,21,3,17,59,2,19,,9,14,16,2,18,64,1,15,,23,27,29,2,35,33,2,27,,21,26,27,2,35,35,2,25,,25,29,32,2,36,30,1,31,,10,14,16,2,40,42,2,14,,14,22,25,3,31,42,3,22,,8,11,13,2,43,42,2,11,
117672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,74,0,0,26,49,,26,67,67,67,0,0,33,0,,67,75,75,75,0,0,25,53,,22,50,50,50,0,0,50,8,,42,100,100,100,0,0,0,0,,100,40,40,40,0,0,60,10,,30
117690,32,38,40,1,13,46,1,39,,34,42,44,1,14,41,1,43,,30,34,37,1,12,50,1,36,,14,18,20,2,19,59,1,19,,14,18,20,3,21,56,0,20,,14,18,20,2,18,60,1,19,,25,31,32,0,36,32,0,31,,31,38,38,0,31,31,1,37,,19,23,25,1,42,33,0,25,,9,13,15,0,45,39,0,15,,19,21,27,0,35,37,0,27,,8,12,14,0,47,39,0,14,
117706,38,45,47,2,12,40,1,46,,38,45,47,2,12,39,1,47,,38,45,47,2,11,41,2,45,,19,25,28,1,14,57,1,27,,21,30,32,1,13,54,0,32,,18,24,26,1,15,58,1,25,,26,31,32,1,29,37,2,30,,25,29,31,1,27,42,1,30,,26,32,34,1,31,34,3,31,,10,13,15,1,40,44,1,15,,18,23,27,1,32,41,1,26,,9,12,14,1,41,45,1,13,
117715,22,26,28,1,22,49,0,28,,25,27,30,1,22,47,0,29,,17,23,25,1,23,52,0,25,,13,17,19,1,17,63,0,18,,14,19,20,1,19,60,1,20,,12,16,17,1,17,65,0,17,,19,22,24,0,31,44,1,24,,22,25,27,0,31,42,1,26,,14,17,19,0,33,48,0,19,,9,12,14,1,41,44,1,14,,18,22,25,1,30,44,1,24,,7,10,12,0,44,44,0,12,
117724,31,35,36,1,8,54,13,23,,35,40,42,2,9,47,13,29,,26,29,30,0,8,62,13,17,,11,14,16,1,10,73,6,9,,19,25,27,1,12,59,10,18,,9,11,13,1,10,76,6,7,,28,33,35,2,16,48,14,20,,33,38,40,2,18,40,17,23,,23,26,28,2,14,57,12,16,,12,16,18,1,27,54,5,13,,24,30,32,1,18,48,10,22,,11,14,16,1,28,55,4,11,
117733,29,36,38,1,16,44,2,36,,31,39,41,2,13,44,1,39,,28,34,35,1,19,45,3,33,,17,23,25,2,13,60,2,23,,23,30,32,3,11,54,2,30,,15,20,22,2,13,63,1,21,,21,26,29,1,30,40,3,26,,23,29,32,1,31,36,2,30,,19,24,27,1,29,43,3,24,,10,14,15,1,39,45,1,14,,20,26,29,1,25,45,1,28,,9,12,14,1,40,45,1,13,
117751,62,66,68,0,6,26,,,68,59,62,65,0,8,27,,,65,63,67,69,0,6,25,,,69,19,21,26,2,18,54,,,26,19,25,44,0,13,44,,,44,20,20,20,2,20,59,,,20,71,78,79,0,4,17,,,79,68,75,78,0,4,18,,,78,74,79,80,0,4,16,,,80,20,23,32,0,13,55,,,32,31,34,41,0,10,48,,,41,7,11,22,0,15,63,,,22
117788,27,33,35,1,10,54,3,32,,31,39,41,0,11,47,3,38,,23,27,28,1,9,62,4,24,,15,19,21,1,13,65,2,19,,26,31,35,1,13,51,2,32,,12,16,17,1,13,69,2,15,,25,28,31,0,28,41,4,27,,26,30,32,0,25,43,3,29,,23,26,29,1,31,40,5,24,,10,14,15,1,39,45,2,14,,22,27,29,2,30,40,3,25,,9,12,14,0,40,46,1,13,
117803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,77,0,0,23,0,77,,75,75,75,0,0,25,0,75,,78,78,78,0,0,22,0,78,
117867,28,35,37,1,11,51,2,35,,29,38,39,1,14,46,2,38,,27,32,35,1,8,56,1,33,,14,20,22,2,12,64,2,20,,17,25,28,3,11,58,2,26,,13,18,20,2,12,66,2,18,,24,29,31,1,23,44,3,28,,26,32,34,2,22,42,4,30,,22,27,27,1,25,47,2,26,,10,14,16,1,39,43,1,15,,17,26,31,3,23,43,3,29,,9,13,15,1,41,43,1,14,
117894,45,50,51,1,13,34,3,48,,44,50,50,1,14,35,3,47,,45,50,52,1,13,34,3,48,,18,22,24,2,15,59,4,20,,15,18,21,2,16,60,2,19,,19,23,25,2,15,59,4,21,,28,30,31,1,26,41,5,26,,33,36,37,2,22,39,7,30,,25,26,28,0,29,43,4,24,,16,20,21,1,34,44,5,16,,18,20,21,3,26,50,1,20,,16,20,21,1,36,42,6,15,
117946,71,78,79,0,15,6,,,79,75,79,79,0,16,5,,,79,70,78,79,0,15,6,,,79,0,100,100,0,0,0,,,100,,,,,,,,,,0,100,100,0,0,0,,,100,80,82,82,0,11,7,,,82,75,75,75,1,14,10,,,75,82,84,84,0,9,6,,,84,50,70,70,0,20,10,,,70,0,50,50,0,50,0,,,50,63,75,75,0,13,13,,,75
118198,72,72,72,0,6,22,72,0,,69,69,69,0,8,23,69,0,,77,77,77,0,3,21,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,71,71,0,5,24,58,14,,75,75,75,0,5,20,61,14,,64,64,64,0,5,31,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118347,37,41,42,2,19,36,2,40,,37,40,41,3,20,36,5,36,,37,41,43,2,19,36,1,42,,7,10,11,2,17,70,2,9,,17,22,24,0,24,52,4,20,,6,9,10,2,16,72,2,9,,26,31,32,1,46,22,3,28,,33,38,40,2,33,25,6,33,,23,28,29,0,50,21,2,26,,9,12,12,1,40,46,2,11,,17,25,25,2,41,32,3,22,,8,11,11,1,40,48,2,10,
