UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
154697,26,44,45,1,31,22,9,37,,40,41,42,0,28,30,5,37,,20,46,47,1,33,19,10,37,,17,18,19,1,46,34,9,9,,21,23,26,0,41,33,10,16,,16,17,18,1,47,34,9,9,,57,57,58,0,25,16,6,52,,60,61,62,0,21,16,3,60,,55,55,56,1,27,17,8,48,,29,30,32,1,45,22,7,25,,51,51,52,0,29,19,4,48,,26,27,29,1,47,23,7,22,
154712,53,67,69,0,23,8,,,69,38,54,54,0,29,17,,,54,56,70,73,0,22,6,,,73,0,0,0,0,0,100,,,0,,,,,,,,,,0,0,0,0,0,100,,,0,55,61,62,0,25,13,,,62,44,50,50,0,33,17,,,50,61,67,69,0,20,11,,,69,0,0,0,0,0,100,,,0,,,,,,,,,,0,0,0,0,0,100,,,0
154721,29,29,29,1,61,10,0,,29,35,35,35,0,61,5,0,,35,25,25,25,2,61,13,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,48,48,0,0,52,0,,48,32,47,47,0,0,53,0,,47,30,49,49,0,0,51,0,,49,0,0,0,0,0,100,0,,0,,,,,,,,,,0,0,0,0,0,100,0,,0
154749,51,58,58,0,31,12,0,,58,45,45,45,0,48,7,0,,45,55,66,66,0,19,15,0,,66,0,0,0,0,0,100,0,,0,,,,,,,,,,0,0,0,0,0,100,0,,0,55,58,58,0,36,7,0,,58,47,49,49,0,47,5,0,,49,67,70,70,0,20,10,0,,70,80,80,80,0,0,20,0,,80,,,,,,,,,,80,80,80,0,0,20,0,,80
154800,29,32,34,1,35,30,0,34,,23,26,27,1,35,37,0,26,,35,38,40,1,35,23,0,40,,11,15,16,1,36,46,0,16,,10,14,15,2,33,51,0,15,,12,16,17,1,38,43,0,17,,31,33,35,1,43,21,0,34,,30,33,33,1,41,26,1,32,,31,34,36,0,45,18,0,36,,20,24,25,1,48,26,0,25,,28,33,35,1,45,19,1,34,,17,20,21,1,49,29,0,21,
154855,21,28,28,0,38,34,,7,21,19,25,25,0,40,35,,5,20,25,31,31,0,36,33,,8,23,0,0,0,0,0,100,,0,0,,,,,,,,,,0,0,0,0,0,100,,0,0,50,55,56,0,18,26,,4,52,46,49,51,0,20,30,,7,44,59,65,67,0,13,20,,0,67,15,15,15,0,40,45,,5,10,0,0,0,0,0,100,,0,0,16,16,16,0,42,42,,5,11
154907,47,47,48,0,24,28,4,44,,41,41,43,0,26,31,2,41,,51,52,52,0,22,26,5,46,,58,60,61,0,15,25,56,4,,5,10,10,0,38,52,0,10,,70,71,72,0,9,19,69,3,,64,66,66,0,17,18,5,61,,64,67,67,0,16,17,4,62,,64,65,65,0,18,18,6,59,,52,55,56,0,24,20,24,31,,38,40,43,0,34,23,4,39,,56,59,59,1,22,19,30,29,
154925,37,37,37,1,38,24,8,30,,33,33,33,1,42,24,9,24,,44,44,44,1,32,23,5,39,,35,35,35,0,36,29,4,31,,37,37,37,0,33,30,2,35,,32,32,32,0,41,27,8,24,,43,44,44,0,36,20,6,38,,41,41,41,0,39,20,5,36,,46,49,49,0,32,20,7,41,,46,46,46,0,36,18,7,39,,57,57,57,0,29,14,14,43,,43,43,43,0,38,19,5,38,
154934,44,45,46,0,27,27,6,40,,43,46,46,0,30,24,6,40,,45,45,46,0,25,29,6,40,,11,18,18,2,34,45,9,9,,0,0,0,0,38,63,0,0,,14,22,22,3,33,42,11,11,,50,52,52,0,24,24,15,37,,50,54,54,0,19,27,19,35,,50,50,50,0,29,21,11,39,,22,24,27,0,46,27,5,22,,28,28,28,0,50,22,6,22,,17,22,26,0,43,30,4,22,
154952,39,40,41,1,29,28,9,32,,33,35,37,1,31,31,11,26,,44,45,46,1,28,25,7,38,,21,23,24,0,33,42,12,12,,33,34,35,0,21,44,18,18,,14,17,18,0,41,41,9,9,,42,45,45,2,32,21,11,35,,36,38,39,4,34,24,10,29,,51,54,54,0,29,17,12,42,,27,29,30,0,40,30,6,24,,22,24,26,0,44,30,6,20,,29,32,33,0,37,29,6,27,
