UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
182290,87,86,88,40,41,39,39,41,38,1,1,1
182458,46,54,48,11,12,12,11,11,12,0,1,0
182634,91,85,94,14,9,15,14,9,15,0,0,0
182670,9,9,9,54,55,53,54,55,53,0,0,0
182795,85,82,87,10,10,9,10,10,9,0,0,0
182917,79,74,83,31,20,38,31,20,38,0,0,0
182980,96,96,96,4,5,4,4,5,4,0,0,0
183026,92,90,94,39,40,39,11,12,10,29,28,29
183044,85,80,88,16,18,16,16,17,16,0,0,0
183062,91,89,92,15,17,14,15,17,14,0,0,0
183071,85,80,89,41,47,37,40,47,36,1,0,2
183080,89,88,91,17,20,15,17,20,14,0,0,0
183211,76,70,78,15,18,14,15,18,14,0,0,0
183239,76,76,76,18,17,18,18,17,18,0,0,0
183248,,,,,,,,,,,,
183275,90,89,90,47,44,48,47,44,48,0,0,0
183822,85,83,86,11,12,10,10,11,10,1,1,1
183910,92,89,93,12,13,11,12,13,11,0,0,0
183974,93,91,94,19,22,17,18,22,16,0,0,0
184348,73,70,75,12,13,11,12,13,11,0,0,0
184603,89,88,89,15,17,15,14,15,14,1,1,1
184612,94,88,96,16,14,16,16,14,16,0,0,0
184694,86,83,89,14,14,14,13,13,14,0,0,0
184773,81,77,83,13,15,13,13,15,12,0,0,1
184782,78,79,77,19,22,17,19,22,17,0,0,0
184968,50,0,57,75,,75,75,,75,0,,0
185129,96,95,97,17,19,16,17,19,16,0,0,0
185174,93,89,100,42,48,32,42,48,32,0,0,0
185262,78,75,80,22,23,21,21,22,20,1,1,0
185572,79,75,81,14,13,14,14,13,14,0,0,0
185590,83,79,85,32,33,31,32,33,31,0,0,0
185679,100,100,100,100,100,100,57,50,60,43,50,40
185828,66,67,64,18,19,14,17,18,13,1,1,1
186131,6,5,6,62,64,61,62,64,61,0,0,0
186186,84,84,,95,95,,95,95,,0,0,
186201,67,69,65,19,20,18,19,20,18,0,0,0
186283,76,75,76,12,13,11,12,13,11,0,0,0
186371,76,76,76,8,7,8,8,7,8,0,0,0
186380,67,68,66,24,25,23,24,25,23,0,0,0
186399,74,72,76,13,14,12,13,14,12,0,0,0
186432,85,88,80,12,9,18,12,9,18,0,0,0
186584,78,80,77,8,9,7,8,9,7,0,0,0
186618,75,67,80,12,14,11,12,14,11,0,0,0
186867,53,52,56,17,18,15,17,18,15,0,0,0
186876,77,73,80,25,27,24,25,27,24,0,0,0
186900,100,100,,78,78,,78,78,,0,0,
187134,51,50,52,21,22,21,21,22,21,0,0,0
187444,81,76,84,15,17,14,15,17,14,0,0,0
187648,51,49,51,36,41,33,35,40,32,1,1,1
187745,100,100,100,56,70,46,36,39,33,20,30,13
187912,41,46,29,84,86,80,84,86,80,0,0,0
187967,97,96,97,17,21,11,16,21,11,0,0,0
187985,96,96,97,28,29,27,27,28,26,1,1,1
188030,63,61,64,25,27,24,25,27,24,0,0,0
188429,75,69,77,9,9,9,9,9,8,0,0,0
188526,75,76,75,9,13,8,9,13,8,0,0,0
188641,64,63,65,13,15,12,13,15,12,0,0,0
188669,,,,,,,,,,,,
188678,58,62,56,20,31,15,20,31,15,0,0,0
188696,42,55,41,3,1,3,3,1,3,0,0,0
188854,44,45,45,18,21,17,18,21,17,0,0,0
188915,100,100,100,100,100,100,100,100,100,0,0,0
188942,100,,100,89,,89,89,,89,0,,0
189088,57,53,59,13,15,12,13,15,12,0,0,0
189097,14,,14,54,,54,53,,53,1,,1
189273,72,72,,92,92,,92,92,,0,0,
189705,76,78,75,16,17,15,16,17,15,0,0,0
189848,94,92,95,9,8,10,9,8,10,0,0,0
189857,95,95,,80,80,,80,80,,0,0,
190008,12,13,12,25,0,33,25,0,33,0,0,0
190044,78,80,76,14,16,12,14,16,12,0,0,0
190099,27,25,29,32,35,30,32,35,30,0,0,0
190114,40,39,42,25,32,22,20,23,19,5,9,3
190150,7,7,6,56,57,56,55,56,54,1,1,2
190248,95,94,96,8,16,5,8,16,5,0,0,0
