UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
239318,"R",647,"R",820,"R",79,"R",573,"R",0,"R",0,"R",573,"R",460,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
239372,"R",293,"R",1443,"R",20,"R",299,"R",0,"R",0,"R",299,"R",232,"R",78,"R",151,"R",0,"R",0,"R",151,"R",96,"R",64,"R",11
239390,"R",190,"R",295,"R",64,"R",139,"R",0,"R",0,"R",139,"R",94,"R",68,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
239442,"R",81,"R",298,"R",27,"R",86,"R",0,"R",0,"R",86,"R",57,"R",66,"R",166,"R",0,"R",0,"R",166,"R",69,"R",42,"R",8
239460,"R",222,"R",3454,"R",6,"R",247,"R",0,"R",0,"R",247,"R",155,"R",63,"R",420,"R",0,"R",0,"R",420,"R",260,"R",62,"R",17
239488,"R",702,"R",2050,"R",34,"R",713,"R",0,"R",0,"R",713,"R",513,"R",72,"R",799,"R",0,"R",0,"R",799,"R",451,"R",56,"R",15
239512,"R",124,"R",160,"R",78,"R",149,"R",0,"R",0,"R",149,"R",109,"R",73,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
239628,"R",247,"R",270,"R",91,"R",241,"R",0,"R",0,"R",241,"R",174,"R",72,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",14
239716,"R",584,"R",621,"R",94,"R",458,"R",0,"R",0,"R",458,"R",370,"R",81,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
239877,"A",,"A",,"A",,"R",12,"R",0,"R",0,"R",12,"R",9,"R",75,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",9
239910,"R",249,"R",1503,"R",17,"R",270,"R",0,"R",0,"R",270,"R",175,"R",65,"R",222,"R",0,"R",0,"R",222,"R",146,"R",66,"R",14
240107,"R",261,"R",479,"R",54,"R",301,"R",0,"R",0,"R",301,"R",224,"R",74,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",11
240116,"R",691,"R",2833,"R",24,"R",652,"R",1,"R",0,"R",651,"R",414,"R",64,"R",309,"R",0,"R",1,"R",310,"R",163,"R",53,"R",12
240125,"R",293,"R",2751,"R",11,"R",286,"R",0,"R",0,"R",286,"R",203,"R",71,"R",400,"R",0,"R",0,"R",400,"R",308,"R",77,"R",22
240170,"R",648,"R",1463,"R",44,"R",505,"R",0,"R",0,"R",505,"R",241,"R",48,"R",398,"R",0,"R",0,"R",398,"R",160,"R",40,"R",9
240189,"R",2077,"R",2927,"R",71,"R",1750,"Z",0,"Z",0,"R",1750,"R",1308,"R",75,"R",13,"Z",0,"Z",0,"R",13,"R",7,"R",54,"R",20
