INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
University of San Francisco,CA,4.0,0,389596000.0,8913.0
San Joaquin College of Law,CA,3.0,0,4682593.0,154.0
San Joaquin Valley College-Visalia,CA,2.0,0,33737022.0,2318.0
William Jessup University,CA,4.0,0,37928225.0,1865.0
San Jose State University,CA,1.0,0,700878581.0,37661.0
Santa Clara University,CA,4.0,0,469353000.0,9728.0
Santa Monica College,CA,1.0,0,388276057.0,23453.0
Saybrook University,CA,3.0,0,22002626.0,1057.0
Scripps College,CA,3.0,0,87854263.0,1137.0
Shasta Bible College and Graduate School,CA,4.0,0,850083.0,25.0
Shasta College,CA,1.0,0,131962707.0,9073.0
Trinity Law School,CA,4.0,0,8786603.0,273.0
Simpson University,CA,4.0,0,25212652.0,992.0
Skyline College,CA,1.0,0,98157302.0,9572.0
Saint Mary's College of California,CA,4.0,0,133416000.0,2734.0
Solano Community College,CA,1.0,0,115965192.0,9282.0
Sonoma State University,CA,1.0,0,183904067.0,5891.0
South Baylo University,CA,3.0,0,3197837.0,198.0
Vanguard University of Southern California,CA,4.0,0,46832965.0,2246.0
Starr King School for the Ministry,CA,4.0,0,3115286.0,77.0
Marshall B Ketchum University,CA,3.0,0,38499043.0,653.0
Southern California Institute of Architecture,CA,3.0,0,23182000.0,418.0
University of Southern California,CA,3.0,1,4032291000.0,46566.0
Southwestern Law School,CA,3.0,0,49535492.0,1006.0
Taft College,CA,1.0,0,53430436.0,4464.0
Claremont School of Theology,CA,4.0,0,7171249.0,213.0
Thomas Aquinas College,CA,4.0,0,30122135.0,566.0
Epic Bible College & Graduate School,CA,4.0,0,2063457.0,98.0
The Colleges of Law at Ventura,CA,3.0,0,3304409.0,288.0
Walden University,MN,2.0,0,476656619.0,49441.0
West Los Angeles College,CA,1.0,0,114699905.0,9255.0
Carrington College-Sacramento,CA,2.0,0,19859049.0,2207.0
Westminster Theological Seminary in California,CA,3.0,0,6094426.0,108.0
Westmont College,CA,4.0,0,61560677.0,1310.0
Whittier College,CA,3.0,0,52745179.0,795.0
Woodbury University,CA,3.0,0,38616133.0,849.0
The Wright Institute,CA,3.0,0,16533465.0,518.0
Thomas Jefferson School of Law,CA,3.0,0,8016626.0,262.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,3.0,0,11964581.0,163.0
Adams State University,CO,1.0,0,56570918.0,2901.0
Aims Community College,CO,1.0,0,133280177.0,8542.0
Arapahoe Community College,CO,1.0,0,90838603.0,15012.0
University of Colorado Denver/Anschutz Medical Campus,CO,1.0,1,1830164255.0,23124.0
University of Colorado Colorado Springs,CO,1.0,0,225476347.0,11354.0
University of Colorado Boulder,CO,1.0,1,1814996187.0,38799.0
Colorado Christian University,CO,4.0,0,97973819.0,9951.0
Colorado College,CO,3.0,0,161098713.0,2056.0
Concorde Career College-Aurora,CO,2.0,0,14624000.0,256.0
Colorado Mountain College,CO,1.0,0,96363733.0,5494.0
Colorado Northwestern Community College,CO,1.0,0,19352511.0,1271.0
Colorado School of Mines,CO,1.0,1,358897958.0,8044.0
Colorado State University-Fort Collins,CO,1.0,1,1402252483.0,34096.0
Colorado Technical University-Colorado Springs,CO,2.0,0,307036298.0,31830.0
Community College of Denver,CO,1.0,0,65913316.0,7965.0
Denver Seminary,CO,4.0,0,15520860.0,847.0
University of Denver,CO,3.0,1,551813591.0,12813.0
Fort Lewis College,CO,1.0,0,76511697.0,3544.0
Front Range Community College,CO,1.0,0,157396560.0,21970.0
Iliff School of Theology,CO,4.0,0,8166208.0,166.0
Colorado Mesa University,CO,1.0,0,147557617.0,9785.0
Metropolitan State University of Denver,CO,1.0,0,241227125.0,18453.0
Morgan Community College,CO,1.0,0,17227480.0,1626.0
Naropa University,CO,3.0,0,27383381.0,1094.0
Nazarene Bible College,CO,4.0,0,4354474.0,527.0
University of Northern Colorado,CO,1.0,0,184758796.0,8869.0
Pikes Peak State College,CO,1.0,0,109687852.0,12556.0
Pueblo Community College,CO,1.0,0,62397788.0,7284.0
Red Rocks Community College,CO,1.0,0,77574527.0,8419.0
Regis University,CO,4.0,0,117794143.0,4605.0
Rocky Mountain College of Art and Design,CO,2.0,0,38162891.0,2061.0
Montessori Education Center of the Rockies,CO,3.0,0,511118.0,43.0
Colorado State University Pueblo,CO,1.0,0,82319689.0,6851.0
Trinidad State College,CO,1.0,0,18965976.0,1613.0
United States Air Force Academy,CO,1.0,0,549173334.0,4114.0
Western Colorado University,CO,1.0,0,61230358.0,3568.0
Albertus Magnus College,CT,4.0,0,31346657.0,1239.0
Bais Binyomin Academy,NY,3.0,0,2963660.0,46.0
University of Bridgeport,CT,3.0,0,80909000.0,3838.0
Central Connecticut State University,CT,1.0,0,247947523.0,9997.0
Charter Oak State College,CT,1.0,0,21227510.0,2012.0
Connecticut College,CT,3.0,0,104058000.0,1990.0
University of Connecticut,CT,1.0,1,1768557744.0,28306.0
Goodwin University,CT,3.0,0,59967751.0,2970.0
Eastern Connecticut State University,CT,1.0,0,116520928.0,4355.0
Fairfield University,CT,4.0,0,245715456.0,6864.0
Hartford International University for Religion and Peace,CT,3.0,0,6579131.0,109.0
